"unique_key","created_date","agency","agency_name","complaint_type","descriptor","location_type","incident_zip","incident_address","street_name","cross_street_1","cross_street_2","intersection_street_1","intersection_street_2","address_type","status","community_board","borough","x_coordinate_state_plane","y_coordinate_state_plane","open_data_channel_type","park_facility_name","park_borough","latitude","longitude","location"
"67078272","2025-12-07T02:01:33.000","DSNY","Department of Sanitation","Obstruction","Cone","Street","11106","32 STREET","32 STREET","32 STREET","BROADWAY","32 STREET","BROADWAY","INTERSECTION","In Progress","01 QUEENS","QUEENS","1005141","216757","PHONE","Unspecified","QUEENS","40.761599665302725","-73.92458792215176","@{latitude=40.761599665302725; longitude=-73.92458792215176; human_address={""address"": """", ""city"": """", ""state"": """", ""zip"": """"}}"
"67080953","2025-12-07T01:57:51.000","DOT","Department of Transportation","Street Condition","Guard Rail - Street","Street","10309","3044 ARTHUR KILL ROAD","ARTHUR KILL ROAD","JOHNSON STREET","BEIRBOWER LANE","JOHNSON STREET","BEIRBOWER LANE","ADDRESS","In Progress","03 STATEN ISLAND","STATEN ISLAND","919969","137890","PHONE","Unspecified","STATEN ISLAND","40.54491883453047","-74.23128859672183","@{latitude=40.54491883453047; longitude=-74.23128859672183; human_address={""address"": """", ""city"": """", ""state"": """", ""zip"": """"}}"
"67076566","2025-12-07T01:50:24.000","DOHMH","Department of Health and Mental Hygiene","Unleashed Dog","Unleashed Dog in Public","Public/Unfenced Area","11421","88-10 86 STREET","86 STREET","88 AVENUE","89 AVENUE","88 AVENUE","89 AVENUE","ADDRESS","In Progress","09 QUEENS","QUEENS","1023789","190895","ONLINE","Unspecified","QUEENS","40.69055113111359","-73.85742463826716","@{latitude=40.69055113111359; longitude=-73.85742463826716; human_address={""address"": """", ""city"": """", ""state"": """", ""zip"": """"}}"
"67076839","2025-12-07T01:47:55.000","DOT","Department of Transportation","Outdoor Dining","Restaurant Status","Street","11238","214 GREENE AVENUE","GREENE AVENUE","CAMBRIDGE PLACE","GRAND AVENUE","CAMBRIDGE PLACE","GRAND AVENUE","ADDRESS","In Progress","02 BROOKLYN","BROOKLYN","994571","189591","ONLINE","Unspecified","BROOKLYN","40.68705425247828","-73.96278503418345","@{latitude=40.68705425247828; longitude=-73.96278503418345; human_address={""address"": """", ""city"": """", ""state"": """", ""zip"": """"}}"
"67075310","2025-12-07T01:43:26.000","DOT","Department of Transportation","Outdoor Dining","Restaurant Status","Street","11238","214 GREENE AVENUE","GREENE AVENUE","CAMBRIDGE PLACE","GRAND AVENUE","CAMBRIDGE PLACE","GRAND AVENUE","ADDRESS","In Progress","02 BROOKLYN","BROOKLYN","994571","189591","ONLINE","Unspecified","BROOKLYN","40.68705425247828","-73.96278503418345","@{latitude=40.68705425247828; longitude=-73.96278503418345; human_address={""address"": """", ""city"": """", ""state"": """", ""zip"": """"}}"
"67080952","2025-12-07T01:30:36.000","DOT","Department of Transportation","Street Condition","Failed Street Repair","Street","11361","35-37 204 STREET","204 STREET","35 AVENUE","36 AVENUE","35 AVENUE","36 AVENUE","ADDRESS","In Progress","11 QUEENS","QUEENS","1044278","218388","ONLINE","Unspecified","QUEENS","40.76589722417967","-73.78329747884915","@{latitude=40.76589722417967; longitude=-73.78329747884915; human_address={""address"": """", ""city"": """", ""state"": """", ""zip"": """"}}"
"67078147","2025-12-07T01:29:20.000","DOT","Department of Transportation","Sidewalk Condition","Blocked - Construction","Sidewalk","11238","834 PACIFIC STREET","PACIFIC STREET","VANDERBILT AVENUE","UNDERHILL AVENUE","VANDERBILT AVENUE","UNDERHILL AVENUE","ADDRESS","In Progress","08 BROOKLYN","BROOKLYN","993461","187298","PHONE","Unspecified","BROOKLYN","40.68076171575791","-73.96679055295567","@{latitude=40.68076171575791; longitude=-73.96679055295567; human_address={""address"": """", ""city"": """", ""state"": """", ""zip"": """"}}"
"67078043","2025-12-07T01:26:25.000","DOHMH","Department of Health and Mental Hygiene","Indoor Air Quality","Ventilation","1-2 Family Dwelling","11217","411 BUTLER STREET","BUTLER STREET","4 AVENUE","PASEO PLACE","4 AVENUE","PASEO PLACE","ADDRESS","In Progress","06 BROOKLYN","BROOKLYN","989640","186901","PHONE","Unspecified","BROOKLYN","40.679675192230306","-73.98056714793253","@{latitude=40.679675192230306; longitude=-73.98056714793253; human_address={""address"": """", ""city"": """", ""state"": """", ""zip"": """"}}"
"67085448","2025-12-07T01:20:17.000","DOHMH","Department of Health and Mental Hygiene","Rodent","Rat Sighting","Commercial Building","11432","155-01 90 AVENUE","90 AVENUE","GRACE COURT","PARSONS BOULEVARD","GRACE COURT","PARSONS BOULEVARD","ADDRESS","In Progress","12 QUEENS","QUEENS","1039119","196041","ONLINE","Unspecified","QUEENS","40.7045939044023","-73.8021037797246","@{latitude=40.7045939044023; longitude=-73.8021037797246; human_address={""address"": """", ""city"": """", ""state"": """", ""zip"": """"}}"
"67083725","2025-12-07T01:17:24.000","DOHMH","Department of Health and Mental Hygiene","Food Establishment","Permit/License/Certificate","Restaurant/Bar/Deli/Bakery","10019","10 COLUMBUS CIRCLE","COLUMBUS CIRCLE","8 AVENUE","BROADWAY","8 AVENUE","BROADWAY","ADDRESS","In Progress","04 MANHATTAN","MANHATTAN","989150","219180","ONLINE","Unspecified","MANHATTAN","40.768273498505636","-73.98231026912883","@{latitude=40.768273498505636; longitude=-73.98231026912883; human_address={""address"": """", ""city"": """", ""state"": """", ""zip"": """"}}"
"67084024","2025-12-07T01:15:30.000","DOT","Department of Transportation","Outdoor Dining","Sidewalk Zone Blocked","Sidewalk","10012","81 MAC DOUGAL STREET","MAC DOUGAL STREET","WEST HOUSTON STREET","BLEECKER STREET","WEST HOUSTON STREET","BLEECKER STREET","ADDRESS","In Progress","02 MANHATTAN","MANHATTAN","983836","204807","ONLINE","Unspecified","MANHATTAN","40.7288245809915","-74.00149371696034","@{latitude=40.7288245809915; longitude=-74.00149371696034; human_address={""address"": """", ""city"": """", ""state"": """", ""zip"": """"}}"
"67076678","2025-12-07T01:12:46.000","DOT","Department of Transportation","Street Sign - Damaged","Do Not Enter","Street","11369","101 STREET","101 STREET","101 STREET","ASTORIA BOULEVARD","101 STREET","ASTORIA BOULEVARD","INTERSECTION","In Progress","03 QUEENS","QUEENS","1020736","216853","MOBILE","Unspecified","QUEENS","40.76181255620047","-73.86829282639488","@{latitude=40.76181255620047; longitude=-73.86829282639488; human_address={""address"": """", ""city"": """", ""state"": """", ""zip"": """"}}"
"67085462","2025-12-07T01:11:01.000","DSNY","Department of Sanitation","Residential Disposal Complaint","Bin Not Used","Sidewalk","10459","863 EAST  169 STREET","EAST  169 STREET","PROSPECT AVENUE","LYMAN PLACE","PROSPECT AVENUE","LYMAN PLACE","ADDRESS","In Progress","03 BRONX","BRONX","1012761","241357","PHONE","Unspecified","BRONX","40.829098657992446","-73.89697692220842","@{latitude=40.829098657992446; longitude=-73.89697692220842; human_address={""address"": """", ""city"": """", ""state"": """", ""zip"": """"}}"
"67078316","2025-12-07T01:07:12.000","DPR","Department of Parks and Recreation","Maintenance or Facility","Rodent Sighting","Street/Curbside","11201","510 FULTON STREET","FULTON STREET","BOND STREET","HANOVER PLACE","BOND STREET","HANOVER PLACE","ADDRESS","In Progress","02 BROOKLYN","BROOKLYN","989122","190474","ONLINE","Unspecified","BROOKLYN","40.68948256141962","-73.98243213717063","@{latitude=40.68948256141962; longitude=-73.98243213717063; human_address={""address"": """", ""city"": """", ""state"": """", ""zip"": """"}}"
